filename,class
user01_raw_01.csv,fear
user01_raw_02.csv,joy
user01_raw_03.csv,disgust
user01_raw_04.csv,sadness
user01_raw_05.csv,surprise
user01_raw_06.csv,anger
user01_raw_07.csv,surprise
user01_raw_08.csv,joy
user01_raw_09.csv,anger
user01_raw_10.csv,fear
user01_raw_11.csv,sadness
user01_raw_12.csv,disgust
user01_raw_13.csv,sadness
user01_raw_14.csv,joy
user01_raw_15.csv,anger
user01_raw_16.csv,fear
user01_raw_17.csv,surprise
user01_raw_18.csv,disgust
user05_raw_01.csv,disgust
user05_raw_02.csv,sadness
user05_raw_03.csv,joy
user05_raw_04.csv,fear
user05_raw_05.csv,surprise
user05_raw_06.csv,anger
user05_raw_07.csv,surprise
user05_raw_08.csv,fear
user05_raw_09.csv,disgust
user05_raw_10.csv,anger
user05_raw_11.csv,joy
user05_raw_12.csv,sadness
user05_raw_13.csv,sadness
user05_raw_14.csv,surprise
user05_raw_15.csv,disgust
user05_raw_16.csv,joy
user05_raw_17.csv,anger
user05_raw_18.csv,fear
user06_raw_01.csv,sadness
user06_raw_02.csv,fear
user06_raw_03.csv,joy
user06_raw_04.csv,disgust
user06_raw_05.csv,surprise
user06_raw_06.csv,anger
user06_raw_07.csv,fear
user06_raw_08.csv,surprise
user06_raw_09.csv,joy
user06_raw_10.csv,sadness
user06_raw_11.csv,anger
user06_raw_12.csv,disgust
user06_raw_13.csv,surprise
user06_raw_14.csv,fear
user06_raw_15.csv,disgust
user06_raw_16.csv,anger
user06_raw_17.csv,joy
user06_raw_18.csv,sadness
user07_raw_01.csv,sadness
user07_raw_02.csv,joy
user07_raw_03.csv,surprise
user07_raw_04.csv,fear
user07_raw_05.csv,disgust
user07_raw_06.csv,anger
user07_raw_07.csv,anger
user07_raw_08.csv,joy
user07_raw_09.csv,fear
user07_raw_10.csv,sadness
user07_raw_11.csv,surprise
user07_raw_12.csv,disgust
user07_raw_13.csv,sadness
user07_raw_14.csv,joy
user07_raw_15.csv,anger
user07_raw_16.csv,disgust
user07_raw_17.csv,fear
user07_raw_18.csv,surprise
user09_raw_01.csv,disgust
user09_raw_02.csv,joy
user09_raw_03.csv,fear
user09_raw_04.csv,surprise
user09_raw_05.csv,sadness
user09_raw_06.csv,anger
user09_raw_07.csv,anger
user09_raw_08.csv,joy
user09_raw_09.csv,fear
user09_raw_10.csv,surprise
user09_raw_11.csv,disgust
user09_raw_12.csv,sadness
user09_raw_13.csv,joy
user09_raw_14.csv,surprise
user09_raw_15.csv,anger
user09_raw_16.csv,fear
user09_raw_17.csv,sadness
user09_raw_18.csv,disgust
user12_raw_01.csv,fear
user12_raw_02.csv,anger
user12_raw_03.csv,disgust
user12_raw_04.csv,joy
user12_raw_05.csv,sadness
user12_raw_06.csv,surprise
user12_raw_07.csv,fear
user12_raw_08.csv,anger
user12_raw_09.csv,sadness
user12_raw_10.csv,joy
user12_raw_11.csv,disgust
user12_raw_12.csv,surprise
user12_raw_13.csv,fear
user12_raw_14.csv,sadness
user12_raw_15.csv,anger
user12_raw_16.csv,surprise
user12_raw_17.csv,joy
user12_raw_18.csv,disgust
user16_raw_01.csv,sadness
user16_raw_02.csv,fear
user16_raw_03.csv,surprise
user16_raw_04.csv,disgust
user16_raw_05.csv,anger
user16_raw_06.csv,joy
user16_raw_07.csv,disgust
user16_raw_08.csv,joy
user16_raw_09.csv,fear
user16_raw_10.csv,surprise
user16_raw_11.csv,sadness
user16_raw_12.csv,anger
user16_raw_13.csv,joy
user16_raw_14.csv,fear
user16_raw_15.csv,anger
user16_raw_16.csv,disgust
user16_raw_17.csv,sadness
user16_raw_18.csv,surprise
user18_raw_01.csv,anger
user18_raw_02.csv,joy
user18_raw_03.csv,surprise
user18_raw_04.csv,disgust
user18_raw_05.csv,fear
user18_raw_06.csv,sadness
user18_raw_07.csv,sadness
user18_raw_08.csv,joy
user18_raw_09.csv,fear
user18_raw_10.csv,disgust
user18_raw_11.csv,surprise
user18_raw_12.csv,anger
user18_raw_13.csv,joy
user18_raw_14.csv,disgust
user18_raw_15.csv,surprise
user18_raw_16.csv,anger
user18_raw_17.csv,fear
user18_raw_18.csv,sadness
user19_raw_01.csv,surprise
user19_raw_02.csv,fear
user19_raw_03.csv,anger
user19_raw_04.csv,disgust
user19_raw_05.csv,sadness
user19_raw_06.csv,joy
user19_raw_07.csv,fear
user19_raw_08.csv,anger
user19_raw_09.csv,joy
user19_raw_10.csv,disgust
user19_raw_11.csv,surprise
user19_raw_12.csv,sadness
user19_raw_13.csv,surprise
user19_raw_14.csv,joy
user19_raw_15.csv,anger
user19_raw_16.csv,fear
user19_raw_17.csv,sadness
user19_raw_18.csv,disgust
user20_raw_01.csv,anger
user20_raw_02.csv,sadness
user20_raw_03.csv,surprise
user20_raw_04.csv,fear
user20_raw_05.csv,joy
user20_raw_06.csv,disgust
user20_raw_07.csv,disgust
user20_raw_08.csv,surprise
user20_raw_09.csv,joy
user20_raw_10.csv,fear
user20_raw_11.csv,anger
user20_raw_12.csv,sadness
user20_raw_13.csv,joy
user20_raw_14.csv,anger
user20_raw_15.csv,disgust
user20_raw_16.csv,fear
user20_raw_17.csv,sadness
user20_raw_18.csv,surprise
user21_raw_01.csv,anger
user21_raw_02.csv,joy
user21_raw_03.csv,surprise
user21_raw_04.csv,fear
user21_raw_05.csv,disgust
user21_raw_06.csv,sadness
user21_raw_07.csv,disgust
user21_raw_08.csv,anger
user21_raw_09.csv,joy
user21_raw_10.csv,surprise
user21_raw_11.csv,sadness
user21_raw_12.csv,fear
user21_raw_13.csv,disgust
user21_raw_14.csv,joy
user21_raw_15.csv,sadness
user21_raw_16.csv,fear
user21_raw_17.csv,anger
user21_raw_18.csv,surprise
user28_raw_01.csv,anger
user28_raw_02.csv,fear
user28_raw_03.csv,joy
user28_raw_04.csv,sadness
user28_raw_05.csv,surprise
user28_raw_06.csv,disgust
user28_raw_07.csv,sadness
user28_raw_08.csv,surprise
user28_raw_09.csv,anger
user28_raw_10.csv,fear
user28_raw_11.csv,disgust
user28_raw_12.csv,joy
user28_raw_13.csv,anger
user28_raw_14.csv,fear
user28_raw_15.csv,joy
user28_raw_16.csv,disgust
user28_raw_17.csv,sadness
user28_raw_18.csv,surprise
user29_raw_01.csv,fear
user29_raw_02.csv,anger
user29_raw_03.csv,joy
user29_raw_04.csv,sadness
user29_raw_05.csv,surprise
user29_raw_06.csv,disgust
user29_raw_07.csv,joy
user29_raw_08.csv,anger
user29_raw_09.csv,sadness
user29_raw_10.csv,fear
user29_raw_11.csv,surprise
user29_raw_12.csv,disgust
user29_raw_13.csv,fear
user29_raw_14.csv,surprise
user29_raw_15.csv,disgust
user29_raw_16.csv,sadness
user29_raw_17.csv,anger
user29_raw_18.csv,joy
user33_raw_01.csv,anger
user33_raw_02.csv,joy
user33_raw_03.csv,disgust
user33_raw_04.csv,surprise
user33_raw_05.csv,fear
user33_raw_06.csv,sadness
user33_raw_07.csv,sadness
user33_raw_08.csv,fear
user33_raw_09.csv,anger
user33_raw_10.csv,joy
user33_raw_11.csv,disgust
user33_raw_12.csv,surprise
user33_raw_13.csv,fear
user33_raw_14.csv,surprise
user33_raw_15.csv,sadness
user33_raw_16.csv,anger
user33_raw_17.csv,disgust
user33_raw_18.csv,joy
user34_raw_01.csv,joy
user34_raw_02.csv,anger
user34_raw_03.csv,fear
user34_raw_04.csv,surprise
user34_raw_05.csv,disgust
user34_raw_06.csv,sadness
user34_raw_07.csv,sadness
user34_raw_08.csv,joy
user34_raw_09.csv,surprise
user34_raw_10.csv,fear
user34_raw_11.csv,disgust
user34_raw_12.csv,anger
user34_raw_13.csv,anger
user34_raw_14.csv,fear
user34_raw_15.csv,disgust
user34_raw_16.csv,surprise
user34_raw_17.csv,joy
user34_raw_18.csv,sadness
user36_raw_01.csv,fear
user36_raw_02.csv,sadness
user36_raw_03.csv,anger
user36_raw_04.csv,surprise
user36_raw_05.csv,joy
user36_raw_06.csv,disgust
user36_raw_07.csv,sadness
user36_raw_08.csv,surprise
user36_raw_09.csv,joy
user36_raw_10.csv,fear
user36_raw_11.csv,disgust
user36_raw_12.csv,anger
user36_raw_13.csv,surprise
user36_raw_14.csv,disgust
user36_raw_15.csv,fear
user36_raw_16.csv,anger
user36_raw_17.csv,joy
user36_raw_18.csv,sadness
user37_raw_01.csv,disgust
user37_raw_02.csv,surprise
user37_raw_03.csv,anger
user37_raw_04.csv,sadness
user37_raw_05.csv,fear
user37_raw_06.csv,joy
user37_raw_07.csv,joy
user37_raw_08.csv,disgust
user37_raw_09.csv,anger
user37_raw_10.csv,fear
user37_raw_11.csv,surprise
user37_raw_12.csv,sadness
user37_raw_13.csv,surprise
user37_raw_14.csv,disgust
user37_raw_15.csv,joy
user37_raw_16.csv,sadness
user37_raw_17.csv,fear
user37_raw_18.csv,anger
user38_raw_01.csv,sadness
user38_raw_02.csv,surprise
user38_raw_03.csv,fear
user38_raw_04.csv,anger
user38_raw_05.csv,disgust
user38_raw_06.csv,joy
user38_raw_07.csv,disgust
user38_raw_08.csv,surprise
user38_raw_09.csv,joy
user38_raw_10.csv,anger
user38_raw_11.csv,sadness
user38_raw_12.csv,fear
user38_raw_13.csv,joy
user38_raw_14.csv,surprise
user38_raw_15.csv,sadness
user38_raw_16.csv,anger
user38_raw_17.csv,fear
user38_raw_18.csv,disgust
user39_raw_01.csv,fear
user39_raw_02.csv,disgust
user39_raw_03.csv,joy
user39_raw_04.csv,anger
user39_raw_05.csv,surprise
user39_raw_06.csv,sadness
user39_raw_07.csv,joy
user39_raw_08.csv,fear
user39_raw_09.csv,anger
user39_raw_10.csv,sadness
user39_raw_11.csv,disgust
user39_raw_12.csv,surprise
user39_raw_13.csv,sadness
user39_raw_14.csv,fear
user39_raw_15.csv,anger
user39_raw_16.csv,joy
user39_raw_17.csv,surprise
user39_raw_18.csv,disgust
user40_raw_01.csv,anger
user40_raw_02.csv,disgust
user40_raw_03.csv,sadness
user40_raw_04.csv,surprise
user40_raw_05.csv,fear
user40_raw_06.csv,joy
user40_raw_07.csv,disgust
user40_raw_08.csv,fear
user40_raw_09.csv,joy
user40_raw_10.csv,sadness
user40_raw_11.csv,surprise
user40_raw_12.csv,anger
user40_raw_13.csv,disgust
user40_raw_14.csv,surprise
user40_raw_15.csv,joy
user40_raw_16.csv,anger
user40_raw_17.csv,sadness
user40_raw_18.csv,fear
