Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4
331.7428,1247.1,-1246.2,3015,-751.5,-3823.8,-1647.9,4776,-5496.9,6817.2,-5175,-691.2,-1517.7,-142.8,-747.3,-188.1,3014.7,-10.2,-26.4,-21,3022.8,-19.2,-5513.4,3289.2,-4063.2
331.7461,1248.9,-1246.5,3014.4,-748.2,-3816.9,-1611.9,4789.5,-5612.1,741,-5163.9,-703.5,-1531.5,-171.6,-751.2,-190.5,3009.3,-9.9,-26.4,-23.1,3005.4,-19.2,-5514.9,3294.6,-4047
331.7494,1248.3,-1245,3023.7,-742.5,-3800.4,-1643.7,4787.1,-5777.4,-8669.7,-5147.4,-697.5,-1522.5,-174.3,-737.7,-193.8,3008.1,-9.9,-26.1,-21.9,3022.8,-19.2,-5487,3301.2,-4022.4
331.7528,1249.2,-1222.2,3029.4,-726,-3781.5,-1635,4807.8,-5797.5,-11707.8,-5118.3,-668.4,-1501.2,-156.3,-711.3,-175.5,3018.9,-9,-25.8,4.5,3035.4,-19.5,-5466.9,3318,-3994.5
331.7561,1237.8,-1252.8,3077.4,-705.6,-3763.8,-1597.2,4828.5,-5657.4,-5631.6,-5096.7,-655.2,-1491.9,-119.1,-709.2,-177,3021.3,-9.6,-26.4,7.8,3019.2,-18.9,-5450.7,3327.9,-3983.1
331.7594,1248.6,-1228.8,3166.5,-686.7,-3759,-1573.8,4833.3,-5466.9,3853.2,-5099.4,-644.4,-1494.3,-105.9,-702.6,-177,3014.7,-9.9,-26.4,16.5,2985.6,-18.6,-5433.6,3322.8,-3973.8
331.7628,1270.8,-1216.8,3216,-663.6,-3732.6,-1564.5,4841.1,-5404.8,6965.4,-5083.5,-633.6,-1504.2,-101.7,-698.4,-166.2,3015.6,-9.9,-26.4,30.3,2990.4,-18.9,-5427.6,3321,-3971.7
331.7661,1284.9,-1217.7,3182.4,-675.9,-3724.8,-1562.1,4850.7,-5514.3,889.2,-5058.6,-634.5,-1517.4,-113.7,-690,-158.4,3021.9,-9.9,-26.1,24.9,2999.1,-18.9,-5400.9,3328.5,-3943.2
331.7694,1288.5,-1228.2,3143.7,-654.6,-3687.3,-1552.5,4863.9,-5672.7,-8373.3,-5027.7,-606.9,-1487.7,-118.5,-675,-154.2,3029.1,-9.9,-26.4,42.3,2971.2,-19.5,-5379.3,3336.6,-3929.4
331.7728,1299.6,-1204.5,3126.3,-645.6,-3675.9,-1524.6,4882.8,-5697.6,-11707.8,-5025.3,-600.6,-1457.7,-60,-658.8,-143.4,3039.9,-9.9,-26.7,57.3,2993.4,-19.2,-5367.3,3354,-3904.8
331.7761,1294.5,-1200,3174.6,-615,-3662.1,-1503.6,4893.9,-5550,-5483.4,-5004.6,-582,-1417.2,-74.4,-656.7,-142.8,3049.8,-9.3,-26.1,90.3,3020.7,-18.9,-5334.9,3372,-3886.5
331.7794,1293.3,-1181.1,3244.5,-608.1,-3672,-1500,4889.4,-5366.4,3927.3,-4999.8,-553.2,-1428,-52.5,-660.3,-153.3,3040.2,-9.9,-26.4,91.2,3015.3,-19.5,-5344.5,3365.7,-3883.5
331.7828,1298.1,-1162.5,3275.7,-621.3,-3651.3,-1490.7,4890.9,-5309.7,6965.4,-4988.1,-563.7,-1445.1,-66,-663.3,-165.3,3036.9,-9.3,-26.4,66,2981.1,-18.9,-5337,3369.3,-3885.9
331.7861,1308.9,-1141.8,3269.7,-621,-3648.9,-1492.8,4907.1,-5423.7,889.2,-4990.8,-551.4,-1414.8,-33.9,-659.1,-159.6,3032.1,-9.9,-26.4,73.2,2991.9,-19.2,-5317.2,3370.2,-3871.8
331.7894,1298.7,-1178.4,3213.3,-618.6,-3624.3,-1483.2,4920,-5588.4,-8595.6,-4959.9,-543,-1410.3,-34.2,-653.4,-159.6,3037.5,-9.6,-26.1,95.4,3002.7,-19.2,-5291.1,3381,-3847.8
331.7928,1298.4,-1178.4,3190.2,-599.4,-3620.7,-1474.5,4926.6,-5620.2,-11633.7,-4941.9,-542.7,-1419.3,-46.2,-639,-149.7,3041.1,-9.9,-26.4,97.8,2955.9,-18.9,-5267.4,3393,-3825.9
331.7961,1281.6,-1182.9,3224.4,-587.4,-3601.8,-1457.4,4923,-5486.4,-5483.4,-4933.2,-530.4,-1415.4,-70.5,-636.9,-153.9,3035.7,-9.3,-25.8,97.2,2947.2,-19.2,-5274.9,3389.1,-3831.9
331.7994,1280.1,-1168.2,3299.7,-585.9,-3585,-1435.5,4924.2,-5297.1,4075.5,-4923,-516,-1420.8,-48.3,-643.8,-163.2,3025.2,-9.9,-25.5,97.5,2970.9,-19.2,-5267.7,3378,-3832.2
331.8028,1281,-1174.8,3329.7,-589.2,-3589.8,-1428.9,4926.9,-5249.1,7113.6,-4924.5,-517.2,-1396.5,-74.1,-646.5,-165.9,3019.5,-9.9,-27,101.4,2962.2,-19.2,-5304,3376.2,-3827.7
331.8061,1292.4,-1172.1,3303.9,-588,-3582.3,-1431.6,4934.1,-5365.2,963.3,-4904.4,-506.7,-1399.2,-57.3,-635.4,-157.2,3024.9,-9.9,-26.1,113.7,2940.3,-18.9,-5272.2,3383.7,-3821.7
331.8094,1295.7,-1172.4,3243,-591.6,-3567,-1427.7,4950.9,-5526.6,-8373.3,-4867.8,-502.8,-1404.3,-48.3,-619.8,-147.3,3035.1,-9.9,-26.4,112.2,2932.5,-19.2,-5252.4,3393.9,-3796.2
331.8128,1288.8,-1182.9,3211.5,-597.6,-3553.5,-1427.7,4953.9,-5563.5,-11633.7,-4867.5,-519,-1414.2,-46.2,-609.6,-139.5,3037.2,-10.2,-26.4,100.5,2938.5,-18.9,-5250.6,3397.2,-3795.3
331.8161,1286.4,-1189.5,3250.5,-576.9,-3554.7,-1412.4,4960.8,-5422.2,-5335.2,-4845.6,-503.1,-1410.6,-29.1,-605.4,-135.6,3041.1,-9.9,-26.4,105,2919.6,-19.2,-5247.3,3403.8,-3793.8
331.8194,1307.7,-1166.1,3343.8,-540.3,-3532.5,-1380,4969.8,-5223.9,4149.6,-4849.2,-477.3,-1407,0.6,-594.6,-123.9,3050.4,-9.6,-26.4,128.4,2868.3,-19.2,-5248.5,3409.5,-3769.2
331.8228,1321.5,-1153.8,3374.7,-534.6,-3523.5,-1373.1,4977,-5175.9,7113.6,-4833.3,-475.5,-1419,12.9,-596.4,-130.8,3049.8,-9.3,-26.4,130.2,2879.4,-19.5,-5240.4,3410.7,-3736.5
331.8261,1315.2,-1174.8,3334.2,-555.6,-3527.1,-1387.8,4983.3,-5301.9,889.2,-4832.7,-493.8,-1436.7,-56.1,-577.5,-130.2,3052.5,-9.6,-26.1,112.5,2886.9,-19.2,-5215.8,3412.2,-3741.3
