Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4
489.1794,863.4,594,762.9,812.7,1075.5,1070.4,826.8,955.5,1778.4,694.8,1043.7,672.6,672.6,257.1,544.5,752.4,-9,-18,960,1077.3,-14.4,798,573.6,621.6
489.1828,858,595.5,762.3,809.1,1047.9,1065.6,819.6,921,-4075.5,698.4,1049.7,684.9,687,253.2,525.6,750,-8.7,-18.6,947.4,1084.2,-14.1,808.8,559.5,603.9
489.1861,854.1,579.9,755.1,799.5,998.7,1048.5,817.8,889.8,-5779.8,684.9,1053.6,682.5,648.6,248.4,521.4,765.9,-8.7,-18.6,924.9,1083,-14.1,801,559.5,570.6
489.1894,853.2,576.3,759.3,805.5,997.5,1044.9,824.1,898.2,-1778.4,677.7,1060.2,687,636.6,245.1,537.9,753.6,-9.3,-18.6,930.9,1087.8,-14.1,786.3,557.4,573.3
489.1928,856.5,585.6,772.5,818.1,1036.5,1054.2,824.4,940.2,4223.7,685.5,1076.1,694.8,652.2,252.9,557.1,744.6,-8.4,-18.6,962.7,1102.8,-14.1,792.9,564,572.7
489.1961,858,587.1,778.5,819,1082.4,1064.7,827.7,973.2,6002.1,682.8,1081.2,696.9,659.1,243,548.4,748.2,-9,-18.3,993,1101,-14.1,797.7,567.9,587.7
489.1994,857.1,581.1,770.7,811.2,1086,1064.4,822.6,959.4,1852.5,695.4,1080.6,706.2,649.2,249.3,533.4,743.4,-8.4,-18,978.9,1113.9,-14.1,805.2,560.4,603.9
489.2028,849,573.6,761.4,796.2,1045.8,1055.7,820.8,918.3,-4001.4,686.7,1058.1,700.8,647.7,243,517.8,744,-8.4,-18.6,949.8,1115.7,-13.8,803.7,546.6,602.4
489.2061,856.2,580.5,757.8,789.3,1003.2,1039.5,812.7,892.8,-5779.8,680.4,1047.6,690,649.2,252.3,512.7,741.6,-8.7,-18,922.2,1103.4,-14.1,797.4,543.9,577.8
489.2094,862.2,582,763.2,792.3,999,1038.6,815.7,903.9,-1704.3,677.4,1069.5,694.2,653.4,243.9,526.8,745.5,-8.7,-18,932.7,1096.5,-14.1,785.1,548.4,568.5
489.2128,864,584.1,768.6,796.5,1030.8,1038,813.6,939.3,4149.6,669,1074.3,695.7,655.5,243.9,550.5,744.6,-9,-18.6,962.4,1098.3,-14.4,771,541.8,562.8
489.2161,861.6,583.5,767.1,798,1071.6,1043.4,815.7,963.9,5928,678,1076.1,704.4,657,246,560.4,745.5,-9,-18.9,968.4,1100.1,-14.1,783.3,545.7,581.4
489.2194,858.9,594.9,772.8,802.2,1080.3,1047.3,813.6,954.9,2074.8,691.2,1086.6,711.9,693.9,245.4,545.1,745.5,-8.4,-18.3,981.3,1114.5,-14.1,791.7,546,585
489.2228,859.8,604.5,773.7,798,1049.7,1044,813.9,918.9,-4001.4,675.3,1092.3,714.6,726,249.6,521.4,751.2,-9,-18.3,958.2,1116.6,-14.4,794.7,540.3,591
489.2261,858,584.1,775.2,793.8,1012.8,1036.8,811.2,891.3,-5779.8,691.5,1086,715.8,603.9,252,519.6,745.2,-8.7,-18,929.4,1113.6,-14.4,803.7,536.7,582
489.2294,858.3,586.8,783.6,801.3,1013.1,1042.8,816.6,900.3,-1778.4,683.7,1093.2,721.8,623.7,246.3,523.5,750.6,-8.7,-18.6,942.3,1107.9,-14.1,795,538.5,593.7
489.2328,859.5,585,780.3,812.7,1045.5,1052.4,822,938.7,4223.7,675.3,1095.6,735.6,646.5,242.4,546.6,747.3,-9,-18.3,970.5,1140,-14.1,789,549.9,607.8
489.2361,857.4,583.2,775.8,807.6,1078.2,1048.2,820.2,964.8,6002.1,672.9,1095.6,710.7,650.1,237.9,554.7,746.7,-8.4,-18.3,983.4,1117.5,-14.4,787.8,552.3,581.1
489.2394,851.7,582.6,771.6,795.3,1075.2,1045.5,817.8,953.1,2074.8,661.2,1086.6,709.8,662.7,238.5,543.9,752.4,-9,-18.3,978.6,1110,-14.4,777.6,545.1,573.9
489.2428,859.8,608.7,796.5,812.1,1062.3,1057.8,815.7,927.3,-4075.5,691.2,1116.3,738.9,717.3,243.3,516.9,736.5,-9,-18.6,995.4,1133.4,-14.4,794.1,537.9,595.5
489.2461,854.4,595.8,793.5,814.2,1025.1,1053.9,818.7,895.8,-5631.6,676.2,1125,741.3,669.9,239.7,508.8,744,-9,-18.3,975,1135.5,-14.4,801,537,599.4
489.2494,856.2,592.5,789.9,817.8,1026,1054.8,822,906.6,-1778.4,692.7,1121.7,747,657,235.8,532.8,741,-8.4,-18.3,968.1,1146,-14.4,800.1,539.4,606.6
489.2528,858.6,590.7,791.7,820.8,1053,1065.9,828.9,946.8,4149.6,665.7,1116.3,741.6,649.5,235.8,546.3,751.5,-8.7,-18.3,983.4,1145.4,-14.4,787.8,552.3,608.1
489.2561,851.1,579.3,787.2,813.3,1083.3,1061.1,825.6,961.2,5853.9,655.8,1107,739.5,635.7,220.5,552.3,771.6,-8.7,-18.6,990.3,1140.9,-14.4,778.8,550.8,589.8
489.2594,851.1,593.7,797.1,820.5,1101.3,1069.5,826.5,961.2,2074.8,678,1114.2,751.8,656.1,228.6,527.4,752.1,-8.7,-18,1001.7,1154.1,-14.4,807,552.3,605.4
489.2628,855.3,599.7,804.9,816.9,1071.6,1063.5,822,923.7,-4001.4,698.4,1120.5,753.3,658.8,236.7,517.8,747.9,-8.4,-18.3,986.7,1152.3,-14.4,814.8,549,591
489.2661,852.6,598.2,804.6,812.1,1029.3,1057.2,825.9,894.3,-5705.7,688.2,1130.7,751.2,653.1,234.9,510.3,750,-8.1,-18.3,980.4,1155,-14.4,805.2,552.6,591.3
489.2694,852.9,592.2,803.1,807.6,1022.4,1054.8,825.9,905.7,-1852.5,681.9,1106.7,749.1,659.1,230.4,520.5,760.8,-8.4,-18,967.5,1151.4,-13.8,792.9,550.5,592.5
489.2728,864.3,602.7,806.7,819.9,1057.2,1070.7,829.5,950.4,4149.6,685.5,1142.1,755.1,671.4,237.3,541.5,738.6,-8.4,-18.3,1004.1,1166.4,-14.7,797.7,554.4,605.1
489.2761,863.1,600.9,808.5,820.2,1093.2,1068.3,828.6,977.1,5779.8,688.5,1148.1,759.3,677.4,232.5,544.5,747.9,-9,-18.3,1016.4,1155.9,-13.8,798.3,561.3,598.5
489.2794,865.2,598.5,804.6,812.4,1095.6,1069.5,826.2,965.7,2000.7,682.5,1129.8,756.9,686.1,236.1,533.4,747,-8.7,-18.9,1023,1162.5,-14.1,807.9,557.1,612.6
489.2828,860.4,591.6,799.2,799.5,1052.7,1063.5,826.2,927.3,-3779.1,680.7,1107.9,752.1,665.1,233.4,514.5,759,-9,-18.6,985.8,1166.4,-13.8,796.5,541.8,627
489.2861,859.2,587.7,795.3,793.5,1015.8,1053.3,823.2,895.8,-5705.7,672.9,1103.1,726.3,660.9,232.8,516.6,752.7,-8.4,-18.6,976.8,1128.6,-14.4,797.4,540.3,588.9
489.2894,862.5,591.3,798.3,799.5,1014.6,1054.8,820.5,907.8,-1926.6,680.7,1118.1,715.5,658.5,236.7,531.3,735,-8.4,-18.3,988.2,1121.4,-14.4,795.6,540,599.1
489.2928,866.7,597,794.7,802.2,1036.2,1056.3,823.8,945.6,4371.9,654.6,1118.4,738,712.2,229.8,540.3,741.9,-8.4,-18.3,975.3,1143.6,-13.8,776.7,544.2,609
489.2961,869.1,596.4,806.4,812.4,1079.4,1057.5,829.2,975.3,6002.1,676.5,1126.8,741.9,686.1,238.5,542.7,734.4,-9,-18,987,1170.6,-14.4,789.9,554.1,594.9
489.2994,864.3,594.3,798.6,810,1085.4,1057.2,828,964.2,2000.7,674.1,1123.8,735.3,674.4,237,527.7,749.7,-8.7,-18.9,1014,1171.5,-14.4,799.8,552.6,582.6
489.3028,854.7,586.8,793.5,795.3,1045.8,1047,820.2,922.8,-3927.3,678.9,1121.4,733.2,643.5,231,508.8,741.9,-8.7,-18,978.3,1170.3,-14.4,801.9,546,590.7
489.3061,856.2,590.4,794.7,795.6,1011.3,1049.4,821.7,899.4,-5705.7,682.5,1111.2,738,649.5,225.3,503.7,733.5,-9,-18.3,967.5,1162.2,-14.1,803.4,535.5,609.3
489.3094,868.2,605.7,805.8,802.5,1005.3,1047.9,823.2,913.2,-1852.5,665.7,1100.7,734.7,650.7,235.5,528.9,734.7,-8.4,-18.3,955.5,1165.2,-14.1,788.7,550.2,599.4
489.3128,868.2,601.8,812.1,811.2,1041,1053.6,825.9,950.1,4075.5,665.7,1112.7,744,651.6,228.3,545.7,743.7,-9,-18.6,986.7,1173.9,-14.1,793.2,560.4,595.5
489.3161,865.5,612.9,827.4,825.3,1086.3,1065.6,830.1,981.6,5928,681.6,1136.4,755.7,684.9,214.5,540.9,746.4,-8.7,-18,1015.5,1187.1,-14.1,811.8,565.2,600.9
489.3194,860.4,601.5,813.3,810,1081.8,1055.7,823.2,963,2000.7,680.4,1124.1,731.1,674.1,231,545.7,742.2,-9,-18.6,1009.8,1154.1,-14.4,808.2,551.7,586.2
489.3228,849,589.2,807.6,800.1,1056,1070.1,828.9,927.3,-3927.3,680.4,1123.8,732.3,663.3,219.9,515.7,753,-8.7,-18.3,1000.5,1168.2,-14.4,794.7,553.2,627.3
489.3261,850.8,590.7,814.8,807.6,1023.9,1063.8,831,900.3,-5853.9,684,1117.5,738.3,659.1,215.4,498.9,753.3,-8.7,-18.6,969.9,1192.5,-14.1,809.7,556.2,647.7
489.3294,857.7,596.1,816.3,812.4,1015.2,1056,823.2,910.5,-1926.6,684.3,1126.8,717.6,662.7,220.8,525.6,738.3,-8.7,-18.6,973.2,1162.5,-14.4,802.5,539.7,630.9
489.3328,867.3,604.8,822,820.8,1047.9,1061.4,829.8,950.4,4297.8,670.2,1122,741,672.3,229.8,542.7,746.4,-8.7,-18.3,992.1,1161,-14.4,803.7,556.5,599.4
489.3361,864.3,603,828.9,825.9,1093.8,1077.3,834.9,980.7,5928,691.5,1127.4,746.7,669.6,220.2,547.8,749.7,-8.4,-18.3,1020.6,1191.3,-14.4,819.6,575.1,626.4
489.3394,862.2,602.7,823.5,817.2,1096.8,1076.1,829.2,966.3,2148.9,685.8,1109.4,750.6,692.1,225.9,539.7,757.8,-8.7,-18.3,1021.2,1196.1,-14.1,827.4,562.8,673.2
489.3428,855.6,591.3,810,807,1055.4,1061.7,822.6,924.3,-3927.3,701.7,1105.5,733.2,650.7,229.5,519,749.1,-8.7,-18.3,994.8,1173.3,-14.4,807.6,548.7,621.3
489.3461,849.3,583.2,801,790.5,1010.4,1040.1,818.1,885.9,-5779.8,688.2,1099.2,729.3,666,224.7,516.9,771.3,-8.7,-18.3,969.9,1160.1,-14.4,806.4,552,565.8
489.3494,862.2,603.9,815.7,810,1022.1,1050.9,830.4,908.1,-1852.5,694.8,1125.6,748.5,677.4,228,527.7,766.8,-8.7,-18.6,991.8,1176.9,-14.1,818.4,567.9,601.2
489.3528,866.4,605.1,813.6,806.4,1045.8,1051.8,828.6,942.9,4223.7,682.5,1115.1,724.2,698.7,236.4,557.7,771.9,-8.7,-18.3,990,1160.7,-14.4,800.4,572.4,585.6
489.3561,864.6,597.6,826.2,823.2,1094.4,1074.9,836.4,976.5,6076.2,691.2,1119.9,727.8,699.6,234.3,552.6,761.1,-8.4,-18.6,1035.6,1174.5,-14.4,821.7,584.7,607.8
489.3594,869.4,612.6,837,825,1107.6,1091.7,833.7,973.8,2148.9,706.5,1131,759.6,709.2,243.6,537.9,741.3,-9.3,-18.3,1059.3,1196.4,-14.1,838.2,576.9,617.4
489.3628,862.2,595.8,811.5,797.7,1061.1,1081.2,831.6,927,-3927.3,690.9,1118.4,733.2,683.1,243,517.2,757.2,-8.7,-18.6,992.7,1158.6,-14.1,829.2,562.2,667.8
489.3661,860.4,588.9,809.4,792.6,1022.4,1069.2,831.3,902.4,-5705.7,699.3,1103.4,728.4,641.1,237.6,515.1,760.5,-8.7,-18.3,964.8,1155.9,-14.1,832.5,556.5,671.4
489.3694,864.9,596.1,811.2,801.3,1015.5,1068.6,828.9,914.7,-1778.4,688.2,1112.7,731.1,668.7,238.8,528.6,753.6,-9,-18.6,969.3,1175.4,-14.4,818.4,549.3,681.6
489.3728,870.3,589.5,799.2,801.6,1041.3,1074.9,839.1,948.3,4075.5,675,1101.3,718.8,658.5,243.6,561,757.8,-8.4,-18.9,980.4,1168.5,-14.4,798.3,574.8,684.6
489.3761,866.4,602.4,805.8,792.9,1062.9,1050.6,822,962.4,6002.1,657,1103.4,712.8,730.5,231.6,568.5,755.7,-9,-18.9,982.8,1161.6,-14.1,796.2,553.2,621.9
489.3794,868.2,600.9,818.1,805.5,1080,1062,826.8,967.8,2148.9,702.3,1098,729.6,679.8,237,519.9,738.3,-8.4,-18.6,999.3,1172.7,-14.4,825.9,566.4,626.4
489.3828,863.7,587.4,806.1,790.5,1046.4,1050.9,810,924.9,-3853.2,696,1095.6,723.9,649.2,236.7,507.3,738.6,-8.7,-18,975.3,1154.7,-14.1,828,534.3,578.1
489.3861,859.2,588.9,792.3,780,1004.4,1048.5,811.5,893.4,-5779.8,689.4,1102.8,718.2,663,233.1,502.8,736.2,-8.4,-18.6,975.9,1147.2,-14.4,809.4,539.1,587.7
489.3894,862.5,584.7,795.3,781.8,998.4,1043.7,811.8,901.2,-1852.5,682.2,1097.7,712.5,645.6,228,515.1,742.2,-8.7,-18.3,966.9,1142.7,-14.1,807.6,543.3,604.2
489.3928,864,589.5,796.2,791.7,1032,1051.2,820.5,938.7,4149.6,672.3,1099.2,711.3,665.7,228.6,543,750.3,-8.4,-18.3,985.8,1155.9,-14.4,802.5,552.6,601.2
489.3961,870,595.8,808.2,808.8,1089.6,1076.1,827.1,977.4,6002.1,696.6,1110.6,727.5,674.4,230.4,542.4,743.7,-9.3,-18.6,1010.1,1180.8,-14.1,815.1,557.4,649.2
489.3994,866.1,602.1,800.1,798.6,1076.4,1063.8,824.1,958.5,2074.8,675.3,1101.6,717.9,710.4,230.4,545.1,755.7,-8.7,-18.6,1005.9,1165.5,-14.4,806.7,559.2,618.6
489.4028,860.4,599.1,801.9,790.8,1050.3,1066.8,822.6,922.8,-3853.2,687.6,1104,717.3,677.4,228.3,516.3,752.7,-8.7,-18.9,992.7,1158.3,-14.4,815.4,551.1,643.8
489.4061,859.8,595.8,806.1,799.5,1019.1,1069.5,825.9,898.2,-5779.8,713.4,1114.5,724.2,663.9,223.2,509.7,753.6,-8.4,-18.3,984.6,1164.6,-14.1,827.1,549.6,657
489.4094,863.1,597.6,801,798.9,1011,1074,822.9,903.3,-1926.6,680.1,1106.7,716.4,691.8,230.7,526.2,751.2,-8.7,-18.6,972,1151.7,-14.1,814.8,537.6,716.1
489.4128,863.7,602.4,812.4,813.3,1044,1083.9,835.2,948.3,4075.5,689.4,1107.3,724.8,677.1,225.3,546,751.5,-8.4,-18.6,995.4,1167.9,-14.1,797.4,566.4,714.9
489.4161,862.8,606,814.2,814.2,1078.5,1057.8,828.3,970.5,6002.1,693.3,1113.3,728.4,671.7,226.5,558.3,764.4,-8.7,-18.6,1015.5,1164,-14.4,818.4,568.2,576.3
489.4194,861.9,606.3,814.5,812.7,1086.6,1069.8,827.1,961.8,2148.9,702.3,1117.2,733.8,693.9,234,549,768.9,-8.7,-18.9,1024.8,1177.2,-14.4,833.1,569.1,605.4
489.4228,860.4,603.9,818.1,811.2,1056.3,1064.4,819.6,925.8,-3853.2,712.2,1122.9,736.5,699,233.7,527.4,753.9,-8.4,-18.6,1015.8,1179.9,-14.7,852.3,555.3,599.7
489.4261,864,617.4,822.3,812.4,1020.3,1065,820.5,899.1,-5631.6,712.5,1122.6,740.1,696.3,234.3,528.3,746.7,-9,-18.3,990.3,1188.6,-14.4,838.5,545.4,623.1
489.4294,855,592.5,804,809.4,1008.6,1059.3,817.8,899.4,-1926.6,686.1,1121.4,735.9,673.5,224.1,534.6,761.7,-8.7,-18.6,992.1,1179.3,-14.4,823.2,549,629.1
489.4328,854.7,587.4,807.9,815.1,1042.5,1066.2,822.6,935.7,4075.5,681,1104.9,730.8,669,220.5,553.2,760.8,-8.7,-18.6,983.1,1174.8,-14.4,814.8,552.9,637.2
489.4361,862.5,607.5,816,824.4,1096.8,1086.3,828.6,972.6,5928,675,1112.1,727.2,700.8,222.3,544.2,744.9,-8.4,-18.6,1003.8,1159.2,-14.1,812.7,567,673.8
489.4394,853.8,592.5,805.5,813,1087.8,1071.3,817.2,954.9,2223,707.1,1109.1,727.8,683.1,224.1,534.9,744,-8.7,-18.6,990.3,1170.6,-14.7,821.7,542.1,653.1
489.4428,849,601.5,798.9,800.1,1050.9,1076.7,816.6,918.9,-3853.2,682.2,1104.6,725.4,705.9,222.9,501.9,741.3,-8.7,-18.6,1002.9,1160.7,-14.1,816,537.3,708.6
489.4461,843,578.7,786.9,791.7,999.3,1066.5,819,889.2,-5631.6,677.7,1103.7,718.8,646.8,218.4,494.7,755.1,-8.7,-18.9,963.9,1171.8,-14.4,815.7,545.1,657
489.4494,846.9,578.7,785.7,796.2,995.7,1072.2,822.9,901.2,-2000.7,672.9,1101.3,723.9,630.9,210.3,509.1,747,-9,-18,956.1,1173.3,-14.4,825.3,543.6,670.8
489.4528,853.8,579,784.2,791.7,1014.3,1049.4,814.8,934.8,4001.4,669.9,1093.5,721.2,649.8,216.6,541.2,742.2,-8.7,-18.3,979.2,1153.5,-14.4,800.1,541.2,589.2
489.4561,850.8,579.3,781.8,787.5,1048.5,1043.7,814.5,955.5,5928,671.7,1078.5,669,651,205.2,537,752.1,-9,-18.3,994.8,1156.2,-13.8,790.8,542.7,561
489.4594,858,593.7,796.2,795.6,1065.6,1062.3,819.9,957.9,2148.9,689.4,1104,700.5,673.5,210.3,519.9,744.6,-8.7,-18,1009.2,1174.2,-14.4,826.2,551.4,619.2
489.4628,855.3,602.4,803.7,796.8,1041,1064.7,819.6,924,-3853.2,699.3,1095,723,692.4,214.8,506.4,746.1,-8.7,-18.3,1004.1,1175.1,-14.7,824.1,539.7,662.1
489.4661,857.7,600.3,800.4,794.7,1000.8,1056.3,816.3,897.3,-5705.7,699.3,1097.4,735.6,673.8,218.1,498.9,744.3,-9,-18.3,976.2,1178.7,-14.4,819.9,536.4,630.3
489.4694,848.7,585.3,786.9,787.2,988.8,1057.8,814.8,895.5,-2074.8,677.1,1094.1,707.1,654.9,212.7,518.7,744.6,-8.7,-18.6,959.1,1157.4,-14.1,807,535.5,672.3
489.4728,862.2,598.5,792,792.9,1014.9,1050.3,807.6,930.9,4149.6,673.8,1092,701.7,694.2,220.5,546.9,738.9,-8.4,-18.6,986.7,1149.3,-14.4,791.4,539.1,643.2
489.4761,861.6,615.3,804,803.7,1056,1054.5,815.4,960.6,6076.2,677.4,1104.3,705.3,740.7,218.1,544.8,750,-8.4,-18.3,1018.8,1151.1,-14.1,796.8,554.7,625.8
489.4794,861,603.6,801.9,807,1077.3,1074,820.8,958.5,2148.9,684,1110,719.7,695.7,228.6,533.4,730.5,-8.7,-18.6,1023.3,1165.2,-14.1,817.2,541.8,695.1
489.4828,847.2,584.7,795.3,795.9,1044.3,1068,811.5,912.9,-3779.1,702,1112.1,720,644.1,230.1,515.7,741.9,-8.4,-18.3,1007.7,1166.7,-14.1,820.2,529.5,722.7
489.4861,849.6,584.4,786.3,783.6,995.4,1041.9,806.1,880.2,-5853.9,682.8,1102.5,716.1,655.8,226.8,511.2,748.5,-8.4,-18.3,968.7,1151.4,-14.1,822.3,526.5,636.9
489.4894,845.1,573,773.4,774.3,984.9,1051.2,811.5,887.7,-2000.7,662.4,1076.4,699,632.7,217.8,528.6,755.4,-8.7,-18.6,938.7,1135.8,-14.1,797.7,530.4,668.1
489.4928,858,591.6,786.6,793.5,1022.7,1053.6,815.1,928.8,4075.5,671.7,1079.1,699.6,676.5,228.3,546,743.7,-8.7,-18.6,968.1,1137.3,-14.1,799.2,535.5,656.7
489.4961,852.9,580.2,777.6,788.4,1044.6,1037.1,806.4,948,6002.1,668.4,1081.8,696.6,662.4,227.1,555.9,741,-8.4,-18,992.4,1129.8,-14.4,797.7,528.9,593.4
489.4994,852.6,592.5,785.4,787.5,1048.5,1043.1,802.2,940.8,2223,686.4,1090.8,694.8,674.7,229.2,537.6,716.4,-8.4,-18.3,1013.4,1118.7,-14.4,798.6,510,614.7
489.5028,854.7,608.7,795.9,787.5,1026.6,1058.7,812.7,912.6,-3705,670.5,1098.6,705.6,721.2,227.1,500.4,734.4,-8.7,-18.3,993,1135.8,-14.1,800.4,527.1,654
489.5061,843,584.1,794.1,786.6,990.9,1043.4,808.8,880.2,-5705.7,691.5,1112.7,722.7,659.1,219,496.8,740.7,-9,-18.3,975.6,1155.6,-14.1,825.3,521.4,629.1
489.5094,845.4,576,793.2,790.5,985.2,1057.5,815.7,895.2,-1926.6,684.6,1101.6,717,636.6,222.6,505.8,740.7,-8.7,-18.3,960.3,1157.1,-14.4,811.2,530.7,671.4
489.5128,847.5,582.9,798.6,800.7,1016.1,1062.9,816,936.6,4001.4,675.3,1095.3,709.8,659.7,212.1,523.8,742.2,-8.4,-18.9,980.4,1148.4,-14.4,808.5,533.7,664.5
489.5161,844.5,578.4,788.1,789.6,1039.5,1045.2,809.7,955.2,6002.1,664.8,1083.3,690.9,658.8,215.7,545.7,754.2,-8.7,-18.3,994.5,1140.3,-14.4,797.4,540,591.6
489.5194,851.4,599.4,804.3,805.8,1065.6,1059,807.9,957.6,2223,677.1,1106.4,713.1,703.5,223.2,519.9,737.1,-8.7,-18.9,1021.2,1166.4,-13.8,813.6,530.1,601.5
489.5228,848.4,597.3,804.6,809.1,1050,1073.4,816,928.8,-3779.1,701.4,1107,730.8,669.9,223.8,501.9,744,-8.4,-18.9,1000.5,1178.7,-14.7,816.9,532.2,659.4
489.5261,847.5,598.5,808.2,814.5,1019.4,1086.9,823.8,905.7,-5631.6,697.5,1119.6,741.6,669.3,213.3,497.7,746.4,-9,-18.9,990.3,1193.4,-13.8,832.5,526.2,721.8
489.5294,849,606,809.1,817.5,1009.2,1094.1,822.6,916.2,-2000.7,686.1,1116.6,734.7,677.1,210.6,510.9,737.4,-8.4,-18,983.7,1194.3,-14.4,814.2,515.7,756
489.5328,855.9,614.7,816.9,834,1041.3,1090.2,824.1,956.4,4149.6,680.7,1119,732.9,689.4,207.6,526.5,732.9,-8.4,-18.3,1009.5,1184.1,-14.1,814.5,530.1,679.5
489.5361,858.6,620.4,818.4,833.1,1075.5,1087.8,824.1,981.6,6002.1,675.6,1116.9,726.6,713.1,215.1,536.1,741.3,-9,-18,1028.7,1171.2,-14.4,816.9,527.1,671.7
489.5394,855,613.2,813.9,825.9,1078.8,1072.2,813.3,969.3,2297.1,697.2,1122.9,733.5,680.4,228.6,525.6,743.7,-8.7,-18,1030.5,1168.5,-14.1,834.9,516.3,588.9
489.5428,853.2,612.9,813.6,819.3,1045.5,1078.8,812.4,932.4,-3779.1,712.2,1126.2,734.4,687.3,228.6,497.7,732,-8.7,-18.6,1013.1,1166.4,-14.4,838.5,512.1,668.4
489.5461,852,605.4,809.7,812.1,1001.1,1073.1,809.1,899.1,-5853.9,695.4,1127.4,732,668.4,228.3,498.6,735.6,-8.7,-18.3,992.4,1160.7,-13.8,820.8,504.6,687
489.5494,857.4,608.1,814.2,815.1,988.5,1069.2,813.3,910.2,-2074.8,693.3,1124.7,727.5,675,236.1,513.3,729.3,-8.7,-18.6,1006.5,1148.7,-14.4,814.8,503.1,663.3
489.5528,862.8,615,816,829.8,1020.6,1080.3,825.3,948.9,4149.6,684.3,1117.8,727.5,699.3,230.1,521.7,737.4,-8.7,-18.3,1008.3,1149.9,-14.1,804.6,522.6,711.9
489.5561,867.3,608.4,810,827.1,1058.4,1082.7,822,975,5928,694.5,1124.7,731.4,674.4,244.2,537.9,739.8,-8.7,-18.6,1023.9,1153.2,-14.4,807.6,529.2,763.2
489.5594,859.5,601.2,795.9,807.6,1049.7,1054.8,814.8,957.6,2297.1,695.4,1117.8,719.7,663,244.8,528.3,744,-9,-18.6,1017.3,1143.3,-14.1,819.9,519.3,616.8
489.5628,858.9,602.7,792.9,801.9,1014,1047.3,811.8,921.9,-3927.3,699.3,1113.3,717.6,677.1,250.8,508.5,744.9,-9,-18.6,992.4,1143.6,-14.1,828.6,505.5,586.2
489.5661,853.5,593.1,783,793.5,969.9,1042.5,810.6,887.1,-5631.6,688.2,1103.4,708.3,671.1,241.5,499.5,757.8,-8.4,-18.3,967.2,1135.5,-14.4,818.1,507.6,592.5
489.5694,857.4,603.3,790.8,799.5,960.9,1049.1,821.4,894.9,-2074.8,669,1105.8,707.7,680.4,238.5,519.6,756,-8.1,-18.3,967.2,1134.9,-14.4,807.6,515.1,618.9
489.5728,858.3,590.7,784.5,802.2,988.5,1053.3,813,925.2,4001.4,670.5,1104.3,708,673.5,242.1,534.6,752.7,-9,-18,981,1137.9,-14.1,802.5,508.8,630.3
489.5761,849.6,587.7,785.7,804.9,1032,1083.3,830.4,952.5,5853.9,662.7,1099.2,707.4,678,228.9,538.2,754.8,-8.7,-18.6,1001.4,1140,-14.4,791.7,522.9,724.5
489.5794,845.4,587.4,778.5,798,1036.5,1092.6,828.3,941.4,2371.2,637.2,1094.4,714.9,676.5,234.6,521.1,753.6,-8.4,-18.6,995.1,1145.7,-14.1,790.5,507.3,776.1
489.5828,832.5,562.8,762.3,778.8,992.4,1058.1,810.3,895.2,-3853.2,667.2,1082.1,701.4,628.8,227.1,505.2,748.5,-8.7,-18.6,957,1131.6,-14.1,793.5,505.2,678.9
489.5861,834.9,569.4,769.5,777.3,940.5,1022.7,796.2,862.5,-5705.7,672.6,1095.9,699.9,632.7,228.9,496.8,741.9,-8.4,-18.3,954.6,1100.1,-14.1,814.2,475.2,577.8
489.5894,834.6,567,769.8,783.3,937.5,1036.2,803.7,877.2,-2074.8,666,1090.2,696.6,621.6,222.9,515.4,747,-8.4,-18.3,949.2,1100.1,-14.4,797.1,487.2,622.5
489.5928,844.8,579.6,779.7,796.8,966.9,1025.7,804.3,916.5,4001.4,669.3,1093.2,702,664.2,220.8,529.5,741.6,-9,-18.3,973.8,1101.6,-14.1,798,485.7,531.6
489.5961,839.1,576.9,778.2,800.4,1009.2,1042.2,802.8,943.8,6150.3,648.3,1090.8,702.3,656.7,213.6,540,746.4,-8.7,-18.6,989.1,1104.3,-14.4,778.2,482.7,606.9
